"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
9292118,1429,2935501,"Entire home/apt",NA,"Boston",NA,"West Roxbury",54,5,4,2,NA,135,NA,"Beautiful 2BD / 1 BA - 1st Floor",2017-07-10 16:18:49,42.277824,-71.162117,"0101000020E61000000A48FB1F60CA51C09F05A1BC8F234540"
1071235,1429,965697,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",193,5,2,1,NA,139,NA,"Cozy JP Studio-Great Location!",2017-07-10 16:18:48,42.317478,-71.108195,"0101000020E6100000CEA5B8AAECC651C089997D1EA3284540"
349347,1429,1444340,"Entire home/apt",NA,"Boston",NA,"Roxbury",62,4.5,2,1,NA,140,NA,"Modern Studio on Tremont St - #2",2017-07-10 16:18:48,42.33824,-71.081717,"0101000020E6100000BEA1F0D93AC551C07A19C5724B2B4540"
12233830,1429,6933825,"Entire home/apt",NA,"Boston",NA,"Allston",65,5,6,3,NA,139,NA,"Modern Boston 2+ Bdrm Harvard/BU/BC/Boston Landing",2017-07-10 16:18:44,42.356741,-71.136516,"0101000020E61000005ED89AADBCC851C0381268B0A92D4540"
6089865,1429,3637081,"Entire home/apt",NA,"Boston",NA,"North End",187,5,2,1,NA,125,NA,"Modern Flat on freedomTrail Apt.",2017-07-10 16:18:44,42.366924,-71.056076,"0101000020E6100000CB85CABF96C351C00A0F9A5DF72E4540"
4553903,1429,10850877,"Entire home/apt",NA,"Boston",NA,"North End",193,4.5,3,1,NA,125,NA,"Stunning Luxury North End Loft!",2017-07-10 16:18:44,42.365619,-71.056977,"0101000020E6100000F3E7DB82A5C351C0EBE5779ACC2E4540"
891661,1429,4737456,"Entire home/apt",NA,"Boston",NA,"North End",237,4.5,4,1,NA,125,NA,"GORGEOUS WATER FRT NORTH END STUDIO",2017-07-10 16:18:43,42.368531,-71.053626,"0101000020E6100000C70DBF9B6EC351C0F54718062C2F4540"
12351909,1429,18150109,"Entire home/apt",NA,"Boston",NA,"Roxbury",61,5,4,0,NA,129,NA,"Freshly Renovated Studio by T",2017-07-10 16:18:43,42.328079,-71.096199,"0101000020E61000001BBAD91F28C651C090C01F7EFE294540"
1327725,1429,7205617,"Entire home/apt",NA,"Boston",NA,"Brighton",157,5,4,2,NA,130,NA,"Modern 2 BR in Brighton with Parking",2017-07-10 16:18:38,42.345668,-71.139219,"0101000020E6100000D6FECEF6E8C851C00AA359D93E2C4540"
5166870,1429,1487352,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",63,5,4,2,NA,121,NA,"2 Bdrm Apt w/ tower in JP Victorian",2017-07-10 16:18:38,42.305034,-71.103331,"0101000020E61000006E6AA0F99CC651C08315A75A0B274540"
13110631,1429,72888191,"Entire home/apt",NA,"Boston",NA,"Back Bay",67,5,3,0,NA,130,NA,"Cute Apt Steps to T & Prudential Shops/Newbury St",2017-07-10 16:18:38,42.343368,-71.082953,"0101000020E6100000BA86191A4FC551C0183F8D7BF32B4540"
10749794,1429,26704689,"Entire home/apt",NA,"Boston",NA,"South Boston",61,5,6,1,NA,140,NA,"*Massage Chair* Queen/Twin Downtown/Ocean/Beach",2017-07-10 16:18:38,42.333055,-71.048405,"0101000020E6100000A0FD481119C351C07862D68BA12A4540"
8442940,1429,3022224,"Entire home/apt",NA,"Boston",NA,"Charlestown",84,5,3,1,NA,139,NA,"Sunny house in historic district",2017-07-10 16:18:38,42.378678,-71.063383,"0101000020E6100000D50792770EC451C07BDB4C8578304540"
6119918,1429,546854,"Entire home/apt",NA,"Boston",NA,"Brighton",65,4.5,4,1,NA,140,NA,"Cozy, Patio, Pool, and Whole Foods",2017-07-10 16:18:38,42.345057,-71.137535,"0101000020E61000008BC3995FCDC851C0C020E9D32A2C4540"
7181950,1429,9410008,"Entire home/apt",NA,"Boston",NA,"North End",118,5,3,1,NA,125,NA,"Spacious North End 1 BR | 1BA",2017-07-10 16:18:36,42.365032,-71.050985,"0101000020E61000008AE5965643C351C02AFF5A5EB92E4540"
