"INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"I172090906","00361","Robbery","ROBBERY - OTHER","D4",134,NA,2017-10-31 00:05:00,2017,10,"Tuesday",0,"Part One","BOYLSTON ST",42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
"I172090887","00301","Robbery","ROBBERY - STREET","D4",NA,NA,2017-10-30 21:14:00,2017,10,"Monday",21,"Part One","DARTMOUTH ST",NA,NA,"(0.00000000, 0.00000000)"
"I172090885","03201","Property Lost","PROPERTY - LOST","B3",466,NA,2017-10-30 22:01:00,2017,10,"Monday",22,"Part Three","MORTON ST",42.28619353,-71.09340836,"(42.28619353, -71.09340836)"
"I172090861","00301","Robbery","ROBBERY - STREET","C11",257,NA,2017-10-30 20:07:00,2017,10,"Monday",20,"Part One","EVERETT AVE",42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
"I172090852","03208","Property Lost","PROPERTY - MISSING","E5",712,NA,2017-10-30 18:00:00,2017,10,"Monday",18,"Part Three","ROCKINGHAM AVE",42.26483265,-71.15567877,"(42.26483265, -71.15567877)"
"I172090838","03201","Property Lost","PROPERTY - LOST","C11",NA,NA,2017-10-30 16:30:00,2017,10,"Monday",16,"Part Three","DORCHESTER AVE",NA,NA,"(0.00000000, 0.00000000)"
"I172090832","03208","Property Lost","PROPERTY - MISSING","E13",307,NA,2017-10-30 18:45:45,2017,10,"Monday",18,"Part Three","WASHINGTON ST",42.31584636,-71.09824825,"(42.31584636, -71.09824825)"
"I172090772","03201","Property Lost","PROPERTY - LOST","A1",117,NA,2017-10-28 00:00:00,2017,10,"Saturday",0,"Part Three","STUART ST",42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
"I172090769","03208","Property Lost","PROPERTY - MISSING","E18",NA,NA,2017-10-30 15:50:00,2017,10,"Monday",15,"Part Three","BUSINESS TER",NA,NA,"(0.00000000, 0.00000000)"
"I172090736","00311","Robbery","ROBBERY - COMMERCIAL","A1",116,NA,2017-10-30 14:02:00,2017,10,"Monday",14,"Part One","HARRISON AVE",42.35115526,-71.06130589,"(42.35115526, -71.06130589)"
"I172090725","03201","Property Lost","PROPERTY - LOST","E13",577,NA,2017-10-29 01:00:00,2017,10,"Sunday",1,"Part Three","BOYLSTON ST",42.31631666,-71.1029721,"(42.31631666, -71.10297210)"
"I172090678","03201","Property Lost","PROPERTY - LOST","D4",270,NA,2017-10-27 11:42:00,2017,10,"Friday",11,"Part Three","NORTHAMPTON ST",42.33395125,-71.07538939,"(42.33395125, -71.07538939)"
"I172090626","00351","Robbery","ROBBERY - BANK","D4",129,NA,2017-10-30 08:51:00,2017,10,"Monday",8,"Part One","ARLINGTON ST",42.35125244,-71.070367,"(42.35125244, -71.07036700)"
"I172090587","00301","Robbery","ROBBERY - STREET","D4",617,NA,2017-10-30 01:49:00,2017,10,"Monday",1,"Part One","AGASSIZ RD",42.34321778,-71.09453163,"(42.34321778, -71.09453163)"
"I172090584","03201","Property Lost","PROPERTY - LOST","D4",145,NA,2017-10-30 01:18:00,2017,10,"Monday",1,"Part Three","SAINT BOTOLPH ST",42.34401294,-71.08186196,"(42.34401294, -71.08186196)"
"I172090562","00381","Robbery","ROBBERY - CAR JACKING","B3",472,NA,2017-10-29 23:19:00,2017,10,"Sunday",23,"Part One","ALMONT ST",42.2752767,-71.09554245,"(42.27527670, -71.09554245)"
"I172090514","00301","Robbery","ROBBERY - STREET","B3",443,NA,2017-10-29 19:26:00,2017,10,"Sunday",19,"Part One","WARNER ST",42.29465454,-71.07983266,"(42.29465454, -71.07983266)"
"I172090475","03201","Property Lost","PROPERTY - LOST","B3",465,NA,2017-10-29 16:59:00,2017,10,"Sunday",16,"Part Three","BLUE HILL AVE",42.29012204,-71.08964896,"(42.29012204, -71.08964896)"
"I172090457","00301","Robbery","ROBBERY - STREET","D14",815,NA,2017-10-29 15:55:00,2017,10,"Sunday",15,"Part One","EASTON ST",42.36014005,-71.13027929,"(42.36014005, -71.13027929)"
"I172090444","00301","Robbery","ROBBERY - STREET","B2",NA,NA,2017-10-29 14:51:00,2017,10,"Sunday",14,"Part One","DUDLEY ST",NA,NA,"(0.00000000, 0.00000000)"
"I172090443","03201","Property Lost","PROPERTY - LOST","E13",608,NA,2017-10-26 06:45:00,2017,10,"Thursday",6,"Part Three","JAMAICAWAY",42.33031815,-71.11252114,"(42.33031815, -71.11252114)"
"I172090438","03201","Property Lost","PROPERTY - LOST","B3",435,NA,2017-10-29 12:45:00,2017,10,"Sunday",12,"Part Three","DUNBAR AVE",42.28659867,-71.07325436,"(42.28659867, -71.07325436)"
"I172090422","03208","Property Lost","PROPERTY - MISSING","D4",149,NA,2017-10-27 21:00:00,2017,10,"Friday",21,"Part Three","DARTMOUTH ST",42.34767067,-71.07620742,"(42.34767067, -71.07620742)"
"I172090414","03201","Property Lost","PROPERTY - LOST","A1",97,NA,2017-10-28 00:01:00,2017,10,"Saturday",0,"Part Three","SCHOOL ST",42.3575462,-71.05881953,"(42.35754620, -71.05881953)"
"I172090406","03208","Property Lost","PROPERTY - MISSING","D4",618,NA,2017-10-29 12:17:00,2017,10,"Sunday",12,"Part Three","FENWAY",42.34227908,-71.09152151,"(42.34227908, -71.09152151)"
"I172090390","03201","Property Lost","PROPERTY - LOST","A15",49,NA,2017-10-28 06:30:00,2017,10,"Saturday",6,"Part Three","CAMBRIDGE ST",42.38378962,-71.07480607,"(42.38378962, -71.07480607)"
"I172090384","03201","Property Lost","PROPERTY - LOST","A1",114,NA,2017-10-28 15:25:00,2017,10,"Saturday",15,"Part Three","SUMMER ST",42.35207053,-71.05409914,"(42.35207053, -71.05409914)"
"I172090309","00361","Robbery","ROBBERY - OTHER","E18",480,NA,2017-10-29 01:00:00,2017,10,"Sunday",1,"Part One","FAIRLAWN AVE",42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
"I172090274","03201","Property Lost","PROPERTY - LOST","C6",NA,NA,2017-10-28 21:18:00,2017,10,"Saturday",21,"Part Three",NA,NA,NA,"(0.00000000, 0.00000000)"
"I172090252","00301","Robbery","ROBBERY - STREET","C11",339,NA,2017-10-28 19:30:00,2017,10,"Saturday",19,"Part One","CHURCH ST",42.3087561,-71.06141045,"(42.30875610, -71.06141045)"
"I172090231","03201","Property Lost","PROPERTY - LOST","D14",181,NA,2017-10-28 19:03:00,2017,10,"Saturday",19,"Part Three","MASSACHUSETTS AVE",42.32734083,-71.06732427,"(42.32734083, -71.06732427)"
"I172090208","03201","Property Lost","PROPERTY - LOST","E18",522,NA,2017-10-28 18:05:00,2017,10,"Saturday",18,"Part Three","DANA AVE",42.25326734,-71.12385963,"(42.25326734, -71.12385963)"
"I172090190","03201","Property Lost","PROPERTY - LOST","B2",311,NA,2017-10-28 16:57:00,2017,10,"Saturday",16,"Part Three","WARREN ST",42.31865102,-71.08162344,"(42.31865102, -71.08162344)"
"I172090159","03201","Property Lost","PROPERTY - LOST","B3",444,NA,2017-10-28 15:04:00,2017,10,"Saturday",15,"Part Three","BLUE HILL AVE",42.2957638,-71.08756002,"(42.29576380, -71.08756002)"
"I172090121","03201","Property Lost","PROPERTY - LOST","B2",614,NA,2017-10-26 10:15:00,2017,10,"Thursday",10,"Part Three","BROOKLINE AVE",42.33962338,-71.10649737,"(42.33962338, -71.10649737)"
"I172090105","03201","Property Lost","PROPERTY - LOST","C6",230,NA,2017-10-27 20:40:00,2017,10,"Friday",20,"Part Three","L ST",42.33271353,-71.03529347,"(42.33271353, -71.03529347)"
"I172090093","03201","Property Lost","PROPERTY - LOST","C11",254,NA,2017-10-28 07:30:00,2017,10,"Saturday",7,"Part Three","SAVIN HILL AVE",42.31145415,-71.05341141,"(42.31145415, -71.05341141)"
"I172089954","03201","Property Lost","PROPERTY - LOST","A1",65,NA,2017-10-26 18:00:00,2017,10,"Thursday",18,"Part Three","CAMBRIDGE ST",42.36122324,-71.06593235,"(42.36122324, -71.06593235)"
"I172089937","03201","Property Lost","PROPERTY - LOST","C11",358,NA,2017-10-22 16:00:00,2017,10,"Sunday",16,"Part Three","CLAYBOURNE ST",42.29653192,-71.07125916,"(42.29653192, -71.07125916)"
"I172089912","00301","Robbery","ROBBERY - STREET","D14",816,NA,2017-10-27 18:54:00,2017,10,"Friday",18,"Part One","HASKELL ST",42.35923564,-71.12854039,"(42.35923564, -71.12854039)"
"I172089860","03201","Property Lost","PROPERTY - LOST","C6",195,NA,2017-10-26 19:05:00,2017,10,"Thursday",19,"Part Three","OLD COLONY AVE",42.33465899,-71.05505448,"(42.33465899, -71.05505448)"
"I172089823","03201","Property Lost","PROPERTY - LOST","E18",488,NA,2017-10-27 10:00:00,2017,10,"Friday",10,"Part Three","WOOD AVE",42.26467396,-71.10987854,"(42.26467396, -71.10987854)"
